timestamp,agg_val
1640672727,4919
1640672742,7862
1640672757,7862
1640672772,4868
1640672787,5413
1640672802,4479
1640672817,10036
1640672832,10784
1640672847,10784
1640672862,18472
1640672877,18472
1640672892,18472
1640672907,8003
1640672922,8003
1640672937,8003
1640672952,8003
1640672967,5904
1640672982,5656
1640672997,6487
1640673012,6487
1640673027,5656
1640673042,5180
1640673057,6743
1640673072,8533
1640673087,8533
1640673102,3636
1640673117,22507
1640673132,22507
1640673147,22507
1640673162,10010
1640673177,6837
1640673192,6837
1640673207,6837
1640673222,3718
1640673237,37069
1640673252,37069
1640673267,37069
1640673282,37069
1640673297,7859
1640673312,7859
1640673327,7859
1640673342,8188
1640673357,18636
1640673372,14993
1640673387,14993
1640673402,14993
1640673417,14993
1640673432,7205
1640673447,7205
1640673462,13006
1640673477,13006
1640673492,13006
1640673507,13006
1640673522,5089
1640673537,9735
1640673552,9636
1640673567,8917
1640673582,8917
1640673597,8917
1640673612,8034
1640673627,8034
1640673642,4569
1640673657,8450
1640673672,8450
1640673687,8450
1640673702,4340
1640673717,8393
1640673732,8393
1640673747,8393
1640673762,4969
1640673777,15640
1640673792,15640
1640673807,15640
1640673822,7459
1640673837,25021
1640673852,25021
1640673867,25021
1640673882,5821
1640673897,10462
1640673912,10462
1640673927,4496
1640673942,4167
1640673957,6554
1640673972,6554
1640673987,6554
1640674002,4109
1640674017,12272
1640674032,12469
1640674047,12272
1640674062,12272
1640674077,29722
1640674092,29722
1640674107,29722
1640674122,20479
1640674137,19239
1640674152,19239
1640674167,19239
1640674182,19239
1640674197,19239
1640674212,10467
1640674227,10467
1640674242,10467
1640674257,10467
1640674272,11961
1640674287,11961
1640674302,11961
1640674317,11961
1640674332,9416
1640674347,9416
1640674362,9416
1640674377,10721
1640674392,11709
1640674407,11709
1640674422,9278
1640674437,9278
1640674452,9278
1640674467,4036
1640674482,5854
1640674497,7273
1640674512,8218
1640674527,6842
1640674542,8477
1640674557,7242
1640674572,8775
1640674587,8544
1640674602,8544
1640674617,8544
1640674632,8544
1640674647,8356
1640674662,7856
1640674677,18799
